,date,bitcoin
0,2020-02-02,6.020371619427859
1,2020-02-01,6.020371619427859
2,2020-01-31,6.983631078536316
3,2020-01-30,7.22444594331343
4,2020-01-29,7.22444594331343
5,2020-01-28,6.983631078536316
6,2020-01-27,5.779556754650744
7,2020-01-26,4.816297295542287
8,2020-01-25,5.057112160319401
9,2020-01-24,5.779556754650744
10,2020-01-23,6.020371619427859
11,2020-01-22,6.020371619427859
12,2020-01-21,6.261186484204973
13,2020-01-20,6.261186484204973
14,2020-01-19,6.742816213759202
15,2020-01-18,6.261186484204973
16,2020-01-17,6.983631078536316
17,2020-01-16,6.742816213759202
18,2020-01-15,7.706075672867659
19,2020-01-14,8.187705402421887
20,2020-01-13,5.779556754650744
21,2020-01-12,5.297927025096516
22,2020-01-11,6.020371619427859
23,2020-01-10,6.261186484204973
24,2020-01-09,6.502001348982088
25,2020-01-08,8.187705402421887
26,2020-01-07,7.4652608080905445
27,2020-01-06,6.261186484204973
28,2020-01-05,5.779556754650744
29,2020-01-04,5.53874188987363
30,2020-01-03,6.020371619427859
31,2020-01-02,5.53874188987363
32,2020-01-01,4.816297295542287
33,2019-12-31,4.816297295542287
34,2019-12-30,5.057112160319401
35,2019-12-29,5.057112160319401
36,2019-12-28,4.816297295542287
37,2019-12-27,5.057112160319401
38,2019-12-26,5.297927025096516
39,2019-12-25,4.816297295542287
40,2019-12-24,5.297927025096516
41,2019-12-23,5.779556754650744
42,2019-12-22,5.057112160319401
43,2019-12-21,5.057112160319401
44,2019-12-20,5.297927025096516
45,2019-12-19,6.020371619427859
46,2019-12-18,6.502001348982088
47,2019-12-17,6.261186484204973
48,2019-12-16,5.297927025096516
49,2019-12-15,4.816297295542287
50,2019-12-14,5.057112160319401
51,2019-12-13,5.057112160319401
52,2019-12-12,5.297927025096516
53,2019-12-11,5.057112160319401
54,2019-12-10,5.057112160319401
55,2019-12-09,5.057112160319401
56,2019-12-08,4.575482430765173
57,2019-12-07,4.816297295542287
58,2019-12-06,5.297927025096516
59,2019-12-05,5.53874188987363
60,2019-12-04,5.53874188987363
61,2019-12-03,5.53874188987363
62,2019-12-02,5.297927025096516
63,2019-12-01,5.057112160319401
64,2019-11-30,5.297927025096516
65,2019-11-29,5.53874188987363
66,2019-11-28,6.020371619427859
67,2019-11-27,6.502001348982088
68,2019-11-26,6.983631078536316
69,2019-11-25,7.946890537644774
70,2019-11-24,5.779556754650744
71,2019-11-23,6.020371619427859
72,2019-11-22,7.706075672867659
73,2019-11-21,6.502001348982088
74,2019-11-20,5.53874188987363
75,2019-11-19,5.53874188987363
76,2019-11-18,5.53874188987363
77,2019-11-17,4.816297295542287
78,2019-11-16,4.816297295542287
79,2019-11-15,5.057112160319401
80,2019-11-14,5.057112160319401
81,2019-11-13,5.53874188987363
82,2019-11-12,5.53874188987363
83,2019-11-11,5.53874188987363
84,2019-11-10,5.057112160319401
85,2019-11-09,5.057112160319401
86,2019-11-08,5.779556754650744
87,2019-11-07,5.53874188987363
88,2019-11-06,5.779556754650744
89,2019-11-05,6.020371619427859
90,2019-11-04,5.779556754650744
91,2019-11-03,5.057112160319401
92,2019-11-02,5.297927025096516
93,2019-11-01,5.53874188987363
94,2019-10-31,6.020371619427859
95,2019-10-30,6.261186484204973
96,2019-10-29,6.983631078536316
97,2019-10-28,7.706075672867659
98,2019-10-27,7.22444594331343
99,2019-10-26,9.873409455861688
100,2019-10-25,7.4652608080905445
101,2019-10-24,6.502001348982088
102,2019-10-23,6.502001348982088
103,2019-10-22,5.297927025096516
104,2019-10-21,5.53874188987363
105,2019-10-20,4.816297295542287
106,2019-10-19,4.816297295542287
107,2019-10-18,5.779556754650744
108,2019-10-17,5.53874188987363
109,2019-10-16,5.53874188987363
110,2019-10-15,5.53874188987363
111,2019-10-14,5.53874188987363
112,2019-10-13,5.057112160319401
113,2019-10-12,5.057112160319401
114,2019-10-11,5.53874188987363
115,2019-10-10,6.261186484204973
116,2019-10-09,6.020371619427859
117,2019-10-08,6.020371619427859
118,2019-10-07,6.261186484204973
119,2019-10-06,5.297927025096516
120,2019-10-05,5.057112160319401
121,2019-10-04,5.779556754650744
122,2019-10-03,6.020371619427859
123,2019-10-02,6.020371619427859
124,2019-10-01,6.742816213759202
125,2019-09-30,6.983631078536316
126,2019-09-29,5.779556754650744
127,2019-09-28,6.261186484204973
128,2019-09-27,7.946890537644774
129,2019-09-26,8.910149996753232
130,2019-09-25,9.632594591084574
131,2019-09-24,8.187705402421887
132,2019-09-23,6.020371619427859
133,2019-09-22,5.057112160319401
134,2019-09-21,4.816297295542287
135,2019-09-20,5.53874188987363
136,2019-09-19,6.020371619427859
137,2019-09-18,5.53874188987363
138,2019-09-17,5.53874188987363
139,2019-09-16,5.53874188987363
140,2019-09-15,5.297927025096516
141,2019-09-14,5.297927025096516
142,2019-09-13,5.779556754650744
143,2019-09-12,6.020371619427859
144,2019-09-11,6.020371619427859
145,2019-09-10,6.020371619427859
146,2019-09-09,6.502001348982088
147,2019-09-08,5.53874188987363
148,2019-09-07,5.779556754650744
149,2019-09-06,6.983631078536316
150,2019-09-05,6.502001348982088
151,2019-09-04,6.983631078536316
152,2019-09-03,7.706075672867659
153,2019-09-02,7.22444594331343
154,2019-09-01,5.53874188987363
155,2019-08-31,5.779556754650744
156,2019-08-30,6.742816213759202
157,2019-08-29,7.946890537644774
158,2019-08-28,7.22444594331343
159,2019-08-27,6.983631078536316
160,2019-08-26,7.22444594331343
161,2019-08-25,6.261186484204973
162,2019-08-24,6.261186484204973
163,2019-08-23,7.22444594331343
