date,var1(t-10),var2(t-10),var1(t-9),var2(t-9),var1(t-8),var2(t-8),var1(t-7),var2(t-7),var1(t-6),var2(t-6),var1(t-5),var2(t-5),var1(t-4),var2(t-4),var1(t-3),var2(t-3),var1(t-2),var2(t-2),var1(t-1),var2(t-1),var1(t)
2014-01-12,0.03938772818377512,0.12260232209233224,0.02014737109887843,0.07410797215372211,0.048620314369761,-0.1541506798272585,0.08261064015722042,0.1541506798272585,0.020946059983481646,0.22314355131420927,-0.17281055170072968,-0.08961215868968675,0.049526147868564685,0.0,0.004900635999002034,-0.03174869831458027,0.02520916547236851,0.03174869831458027,0.05103130815616286,-0.13353139262452252,-0.0571062820856163
2014-01-13,0.02014737109887843,0.07410797215372211,0.048620314369761,-0.1541506798272585,0.08261064015722042,0.1541506798272585,0.020946059983481646,0.22314355131420927,-0.17281055170072968,-0.08961215868968675,0.049526147868564685,0.0,0.004900635999002034,-0.03174869831458027,0.02520916547236851,0.03174869831458027,0.05103130815616286,-0.13353139262452252,-0.0571062820856163,0.0,-0.025840139448451538
2014-01-14,0.048620314369761,-0.1541506798272585,0.08261064015722042,0.1541506798272585,0.020946059983481646,0.22314355131420927,-0.17281055170072968,-0.08961215868968675,0.049526147868564685,0.0,0.004900635999002034,-0.03174869831458027,0.02520916547236851,0.03174869831458027,0.05103130815616286,-0.13353139262452252,-0.0571062820856163,0.0,-0.025840139448451538,0.0,-0.009471724528508751
2014-01-15,0.08261064015722042,0.1541506798272585,0.020946059983481646,0.22314355131420927,-0.17281055170072968,-0.08961215868968675,0.049526147868564685,0.0,0.004900635999002034,-0.03174869831458027,0.02520916547236851,0.03174869831458027,0.05103130815616286,-0.13353139262452252,-0.0571062820856163,0.0,-0.025840139448451538,0.0,-0.009471724528508751,0.0,0.03262063436387308
2014-01-16,0.020946059983481646,0.22314355131420927,-0.17281055170072968,-0.08961215868968675,0.049526147868564685,0.0,0.004900635999002034,-0.03174869831458027,0.02520916547236851,0.03174869831458027,0.05103130815616286,-0.13353139262452252,-0.0571062820856163,0.0,-0.025840139448451538,0.0,-0.009471724528508751,0.0,0.03262063436387308,0.035091319811270116,-0.029792422280352504
2014-01-17,-0.17281055170072968,-0.08961215868968675,0.049526147868564685,0.0,0.004900635999002034,-0.03174869831458027,0.02520916547236851,0.03174869831458027,0.05103130815616286,-0.13353139262452252,-0.0571062820856163,0.0,-0.025840139448451538,0.0,-0.009471724528508751,0.0,0.03262063436387308,0.035091319811270116,-0.029792422280352504,0.15906469462968742,-0.025439633520146998
2014-01-18,0.049526147868564685,0.0,0.004900635999002034,-0.03174869831458027,0.02520916547236851,0.03174869831458027,0.05103130815616286,-0.13353139262452252,-0.0571062820856163,0.0,-0.025840139448451538,0.0,-0.009471724528508751,0.0,0.03262063436387308,0.035091319811270116,-0.029792422280352504,0.15906469462968742,-0.025439633520146998,-0.029852963149681333,0.030655593973949458
2014-01-19,0.004900635999002034,-0.03174869831458027,0.02520916547236851,0.03174869831458027,0.05103130815616286,-0.13353139262452252,-0.0571062820856163,0.0,-0.025840139448451538,0.0,-0.009471724528508751,0.0,0.03262063436387308,0.035091319811270116,-0.029792422280352504,0.15906469462968742,-0.025439633520146998,-0.029852963149681333,0.030655593973949458,-0.2776317365982792,0.03619415973556528
2014-01-20,0.02520916547236851,0.03174869831458027,0.05103130815616286,-0.13353139262452252,-0.0571062820856163,0.0,-0.025840139448451538,0.0,-0.009471724528508751,0.0,0.03262063436387308,0.035091319811270116,-0.029792422280352504,0.15906469462968742,-0.025439633520146998,-0.029852963149681333,0.030655593973949458,-0.2776317365982792,0.03619415973556528,0.039220713153280906,-0.0008729812863448316
2014-01-21,0.05103130815616286,-0.13353139262452252,-0.0571062820856163,0.0,-0.025840139448451538,0.0,-0.009471724528508751,0.0,0.03262063436387308,0.035091319811270116,-0.029792422280352504,0.15906469462968742,-0.025439633520146998,-0.029852963149681333,0.030655593973949458,-0.2776317365982792,0.03619415973556528,0.039220713153280906,-0.0008729812863448316,0.14717087134548135,-0.0072544735749149325
2014-01-22,-0.0571062820856163,0.0,-0.025840139448451538,0.0,-0.009471724528508751,0.0,0.03262063436387308,0.035091319811270116,-0.029792422280352504,0.15906469462968742,-0.025439633520146998,-0.029852963149681333,0.030655593973949458,-0.2776317365982792,0.03619415973556528,0.039220713153280906,-0.0008729812863448316,0.14717087134548135,-0.0072544735749149325,0.027398974188114433,-0.021433988147985694
2014-01-23,-0.025840139448451538,0.0,-0.009471724528508751,0.0,0.03262063436387308,0.035091319811270116,-0.029792422280352504,0.15906469462968742,-0.025439633520146998,-0.029852963149681333,0.030655593973949458,-0.2776317365982792,0.03619415973556528,0.039220713153280906,-0.0008729812863448316,0.14717087134548135,-0.0072544735749149325,0.027398974188114433,-0.021433988147985694,0.10265415406008316,-0.028245552890959758
2014-01-24,-0.009471724528508751,0.0,0.03262063436387308,0.035091319811270116,-0.029792422280352504,0.15906469462968742,-0.025439633520146998,-0.029852963149681333,0.030655593973949458,-0.2776317365982792,0.03619415973556528,0.039220713153280906,-0.0008729812863448316,0.14717087134548135,-0.0072544735749149325,0.027398974188114433,-0.021433988147985694,0.10265415406008316,-0.028245552890959758,-0.07598590697792162,-0.030846551379176468
